'Thu Mar 17 09:18:26 2022 +0100;accessibility enhancement mobile primarily'
'Wed Mar 16 18:24:56 2022 +0100;added keyboard accessibility across pages, imageupload from dashboard, limited fetch to a minimum and sharing data across app'
'Wed Mar 16 09:22:23 2022 +0100;responsive header, footer, news, moviedetails'
'Tue Mar 15 17:15:32 2022 +0100;added responsive header, footer, frontpage'
'Tue Mar 15 09:28:24 2022 +0100;added contact page'
'Mon Mar 14 18:34:48 2022 +0100;added cms, footer'
'Mon Mar 14 13:02:01 2022 +0100;reordering folders'
'Mon Mar 14 13:00:15 2022 +0100;added frontpage, moviedetails, news'
'Mon Mar 14 12:59:42 2022 +0100;added frontpage, moviedetails, news'
'Mon Mar 14 10:27:11 2022 +0100;added front page and setting up for moviedetailspage'
'Mon Mar 14 09:04:35 2022 +0100;first'